,LocationId,TotalCapacity,LocationName,CountOfParticipants,PercetageCapacity,LastUpdatedDateAndTime,LastCount,MinColor,MidColor,MaxColor,MinCapacityRange,MaxCapacityRange,CountCapacityColorEnabled,FacilityId,FacilityName,IsClosed,time_retrived
0,6129,100,Upper Track (4th Floor),0,0,2021-11-19T23:18:47.81,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
1,5978,50,Faculty/Staff Workout Area ,0,0,2021-11-19T23:18:48.28,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
2,5995,100,Upper Fitness ,0,0,2021-11-19T23:18:48.717,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
3,5996,100,Upper Gym,0,0,2021-11-19T23:18:49.14,40,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
4,6130,100,MAC Court (Cardio),0,0,2021-11-19T23:18:50.513,1,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
5,7289,50,MAC (badminton),0,0,2021-11-19T23:18:50.89,6,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
6,6158,100,West Mezzanine (3rd Floor),0,0,2021-11-19T23:18:51.28,1,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
7,5984,100,Atrium Track (3rd Floor),0,0,2021-11-19T23:18:51.747,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
8,6157,100,East Mezzanine (3rd Floor),0,0,2021-11-19T23:18:52.14,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
9,5988,50,Mindfulness Room ,0,0,2021-11-19T23:18:52.53,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
10,5991,200,Racquetball/Squash Courts ,0,0,2021-11-19T23:18:52.92,7,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
11,7292,100,Fitness Pavilion (strength),0,0,2021-11-19T23:18:53.857,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
12,7293,100,Fitness Pavilion (cardio),0,0,2021-11-19T23:18:54.263,4,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
13,5981,100,Fitness Loft,0,0,2021-11-19T23:18:54.67,1,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
